Date,Symbol,Entry,Exit,Score,Result,PnL_Pct,Balance,Profit_Cash
17,ACAP,0.653,0.62035,0.63,STOP LOSS ❌,-0.05,144294,-500.0
17,MEPA,1.243,1.18085,0.64,STOP LOSS ❌,-0.05,88946,-500.0
17,SCTS,72.75,80.025,0.95,TARGET HIT 🎯,0.1,414696,1000.0
17,OFH,0.4,0.38,0.61,STOP LOSS ❌,-0.05,72976,-500.0
17,SCFM,34.02,37.422000000000004,0.96,TARGET HIT 🎯,0.1,480174,1000.0
18,EITP,4.0,4.4,0.95,TARGET HIT 🎯,0.1,161051,1000.0
18,MEPA,1.251,1.1884499999999998,0.63,STOP LOSS ❌,-0.05,84498,-500.0
18,SCTS,72.599998,79.8599978,0.95,TARGET HIT 🎯,0.1,456165,1000.0
18,KRDI,1.87,1.7765,0.67,STOP LOSS ❌,-0.05,234085,-500.0
18,SCFM,34.860001,38.3460011,0.97,TARGET HIT 🎯,0.1,528192,1000.0
18,ACAP,0.655,0.62225,0.67,STOP LOSS ❌,-0.05,137080,-500.0
18,WCDF,250.0,275.0,0.79,TARGET HIT 🎯,0.1,168298,1000.0
18,DSCW,1.060667,1.00763365,0.65,STOP LOSS ❌,-0.05,165866,-500.0
18,MOED,0.453,0.43035,0.71,STOP LOSS ❌,-0.05,95000,-500.0
18,EGREF,12.9,14.190000000000001,0.95,TARGET HIT 🎯,0.1,167078,1000.0
19,EGCH,10.931605,10.38502475,0.68,STOP LOSS ❌,-0.05,95000,-500.0
19,SPMD,0.503,0.47785,0.72,STOP LOSS ❌,-0.05,95000,-500.0
19,ASCM,46.580002,44.2510019,0.7,STOP LOSS ❌,-0.05,95000,-500.0
19,SUCE,32.0,30.4,0.86,STOP LOSS ❌,-0.05,90250,-500.0
19,AFDI,29.940001,28.44300095,0.68,STOP LOSS ❌,-0.05,95000,-500.0
19,EBSC,0.348,0.38280000000000003,0.86,TARGET HIT 🎯,0.1,110000,1000.0
19,EALR,27.5,26.125,0.82,STOP LOSS ❌,-0.05,90250,-500.0
19,ATQA,4.01,3.8094999999999994,0.73,STOP LOSS ❌,-0.05,104500,-500.0
19,BTFH,3.012066,2.8614626999999997,0.77,STOP LOSS ❌,-0.05,95000,-500.0
19,AJWA,63.490002,69.8390022,0.68,TARGET HIT 🎯,0.1,121000,1000.0
19,SCTS,74.5,81.95,0.96,TARGET HIT 🎯,0.1,501782,1000.0
19,SCFM,35.0,38.5,0.96,TARGET HIT 🎯,0.1,581011,1000.0
19,ADIB,16.336195,15.51938525,0.69,STOP LOSS ❌,-0.05,95000,-500.0
19,ADPC,2.28,2.508,0.76,TARGET HIT 🎯,0.1,152998,1000.0
19,ASPI,0.355,0.33725,0.79,STOP LOSS ❌,-0.05,95000,-500.0
19,CERA,0.702,0.6668999999999999,0.76,STOP LOSS ❌,-0.05,95000,-500.0
19,EGREF,13.93,13.2335,0.96,STOP LOSS ❌,-0.05,158724,-500.0
19,ALUM,16.129999,15.32349905,0.73,STOP LOSS ❌,-0.05,95000,-500.0
19,GTWL,26.0,28.6,0.76,TARGET HIT 🎯,0.1,110000,1000.0
19,OLFI,11.15,10.5925,0.6,STOP LOSS ❌,-0.05,95000,-500.0
19,GBCO,8.03,7.628499999999999,0.62,STOP LOSS ❌,-0.05,95000,-500.0
19,ELKA,1.65,1.815,0.71,TARGET HIT 🎯,0.1,110000,1000.0
19,ACRO,38.279999,42.1079989,0.76,TARGET HIT 🎯,0.1,110000,1000.0
19,OCPH,94.5,103.95,0.61,TARGET HIT 🎯,0.1,114950,1000.0
19,PRCL,11.91,11.314499999999999,0.76,STOP LOSS ❌,-0.05,95000,-500.0
19,RAKT,16.07,15.266499999999999,0.7,STOP LOSS ❌,-0.05,95000,-500.0
19,INFI,56.55329,53.72562549999999,0.75,STOP LOSS ❌,-0.05,95000,-500.0
19,RMDA,1.473977,1.40027815,0.67,STOP LOSS ❌,-0.05,95000,-500.0
19,MTIE,4.544,4.9984,0.74,TARGET HIT 🎯,0.1,110000,1000.0
19,ISMA,11.65,11.067499999999999,0.66,STOP LOSS ❌,-0.05,95000,-500.0
19,AALR,44.0,48.400000000000006,0.75,TARGET HIT 🎯,0.1,104500,1000.0
19,UNIP,0.177666,0.1954326,0.76,TARGET HIT 🎯,0.1,110000,1000.0
19,ISMQ,3.77,3.5814999999999997,0.7,STOP LOSS ❌,-0.05,95000,-500.0
19,MBSC,46.009998,50.61099780000001,0.74,TARGET HIT 🎯,0.1,110000,1000.0
20,ALEX,10.02,9.518999999999998,0.96,STOP LOSS ❌,-0.05,99275,-500.0
20,DAPH,71.699997,68.11499715,0.69,STOP LOSS ❌,-0.05,95000,-500.0
20,WATP,9.0,9.9,0.74,TARGET HIT 🎯,0.1,109202,1000.0
20,SCTS,73.720001,81.0920011,0.96,TARGET HIT 🎯,0.1,551960,1000.0
20,ASCM,48.59,46.1605,0.66,STOP LOSS ❌,-0.05,90250,-500.0
20,SCFM,35.0,38.5,0.95,TARGET HIT 🎯,0.1,639112,1000.0
20,EITP,4.01,4.4110000000000005,0.94,TARGET HIT 🎯,0.1,177156,1000.0
21,CAED,19.99,21.989,0.76,TARGET HIT 🎯,0.1,110000,1000.0
21,SCFM,34.119999,37.531998900000005,0.95,TARGET HIT 🎯,0.1,703023,1000.0
21,MEPA,1.55,1.7050000000000003,0.71,TARGET HIT 🎯,0.1,92948,1000.0
21,SCTS,74.5,81.95,0.95,TARGET HIT 🎯,0.1,607156,1000.0
21,ACAP,0.679,0.7469000000000001,0.67,TARGET HIT 🎯,0.1,150788,1000.0
21,PACH,40.0,44.0,0.9,TARGET HIT 🎯,0.1,133100,1000.0
22,SCFM,34.0,37.400000000000006,0.92,TARGET HIT 🎯,0.1,773326,1000.0
22,CAED,19.549999,21.5049989,0.95,TARGET HIT 🎯,0.1,121000,1000.0
22,SMPP,50.0,55.00000000000001,0.93,TARGET HIT 🎯,0.1,121000,1000.0
22,SCTS,74.010002,81.41100220000001,0.96,TARGET HIT 🎯,0.1,667872,1000.0
22,EGREF,13.25,14.575000000000001,0.95,TARGET HIT 🎯,0.1,174596,1000.0
22,MEPA,1.639,1.8029000000000002,0.69,TARGET HIT 🎯,0.1,102243,1000.0
23,PACH,39.82,37.829,0.9,STOP LOSS ❌,-0.05,126445,-500.0
23,ANFI,9.38,8.911,0.66,STOP LOSS ❌,-0.05,90250,-500.0
23,ICLE,38.0,41.800000000000004,0.73,TARGET HIT 🎯,0.1,133100,1000.0
23,EGREF,14.0,13.299999999999999,0.94,STOP LOSS ❌,-0.05,165866,-500.0
23,DTPP,34.099998,37.5099978,0.76,TARGET HIT 🎯,0.1,126445,1000.0
23,APPC,0.86,0.9460000000000001,0.92,TARGET HIT 🎯,0.1,121000,1000.0
23,SCFM,35.779999,33.99099904999999,0.95,STOP LOSS ❌,-0.05,734659,-500.0
23,ODIN,2.083332,2.2916652,0.7,TARGET HIT 🎯,0.1,110000,1000.0
23,WATP,10.5,11.55,0.63,TARGET HIT 🎯,0.1,120122,1000.0
23,CAED,19.51,21.461000000000002,0.95,TARGET HIT 🎯,0.1,133100,1000.0
23,ATLC,3.657661,4.0234271,0.73,TARGET HIT 🎯,0.1,110000,1000.0
23,SCTS,75.489998,83.0389978,0.9,TARGET HIT 🎯,0.1,734659,1000.0
23,MEPA,1.797,1.70715,0.7,STOP LOSS ❌,-0.05,97131,-500.0
24,ICLE,38.0,41.800000000000004,0.62,TARGET HIT 🎯,0.1,146410,1000.0
24,ODIN,2.058332,2.2641652000000003,0.65,TARGET HIT 🎯,0.1,121000,1000.0
24,SCTS,76.0,83.60000000000001,0.9,TARGET HIT 🎯,0.1,808125,1000.0
24,DTPP,34.110001,37.5210011,0.86,TARGET HIT 🎯,0.1,139089,1000.0
24,SCFM,35.740002,39.3140022,0.96,TARGET HIT 🎯,0.1,808125,1000.0
24,NBKE,12.02,13.222000000000001,0.94,TARGET HIT 🎯,0.1,114950,1000.0
24,EHDR,1.95,2.145,0.63,TARGET HIT 🎯,0.1,110000,1000.0
24,EGREF,13.1,14.41,0.95,TARGET HIT 🎯,0.1,182453,1000.0
25,EGREF,13.02,14.322000000000001,0.95,TARGET HIT 🎯,0.1,200698,1000.0
25,SCFM,35.0,38.5,0.91,TARGET HIT 🎯,0.1,888938,1000.0
25,SCTS,74.75,82.22500000000001,0.92,TARGET HIT 🎯,0.1,888938,1000.0
25,EITP,4.06,4.466,0.92,TARGET HIT 🎯,0.1,194871,1000.0
25,SUCE,25.0,27.500000000000004,0.79,TARGET HIT 🎯,0.1,99275,1000.0
25,WATP,11.6,12.76,0.77,TARGET HIT 🎯,0.1,132135,1000.0
26,EGREF,14.4,13.68,0.78,STOP LOSS ❌,-0.05,190663,-500.0
26,SCFM,36.84,34.998000000000005,0.87,STOP LOSS ❌,-0.05,844491,-500.0
26,CPCI,74.970001,71.22150094999999,0.65,STOP LOSS ❌,-0.05,95000,-500.0
26,ICLE,41.0,45.1,0.62,TARGET HIT 🎯,0.1,161051,1000.0
26,SCTS,75.900002,83.4900022,0.9,TARGET HIT 🎯,0.1,977832,1000.0
27,EGREF,13.8,13.11,0.89,STOP LOSS ❌,-0.05,181130,-500.0
27,ANFI,9.05,9.955000000000002,0.67,TARGET HIT 🎯,0.1,99275,1000.0
27,ALEX,11.0,12.100000000000001,0.96,TARGET HIT 🎯,0.1,109202,1000.0
27,SCTS,75.0,82.5,0.95,TARGET HIT 🎯,0.1,1075615,1000.0
27,WATP,13.99,15.389000000000001,0.77,TARGET HIT 🎯,0.1,145348,1000.0
27,AXPH,240.0,228.0,0.62,STOP LOSS ❌,-0.05,104500,-500.0
27,SCFM,36.59,34.7605,0.93,STOP LOSS ❌,-0.05,802266,-500.0
28,SCTS,75.0,82.5,0.95,TARGET HIT 🎯,0.1,1183176,1000.0
28,SCFM,35.0,38.5,0.95,TARGET HIT 🎯,0.1,882493,1000.0
28,SUCE,13.0,14.3,0.89,TARGET HIT 🎯,0.1,109202,1000.0
28,EGREF,13.5,12.825,0.95,STOP LOSS ❌,-0.05,172074,-500.0
29,SCFM,36.790001,40.4690011,0.9,TARGET HIT 🎯,0.1,970742,1000.0
29,ACAP,0.788,0.8668000000000001,0.67,TARGET HIT 🎯,0.1,165866,1000.0
29,WATP,14.2,13.489999999999998,0.72,STOP LOSS ❌,-0.05,138081,-500.0
29,COPR,0.212991,0.23429010000000003,0.66,TARGET HIT 🎯,0.1,110000,1000.0
29,MOIN,8.615376,9.4769136,0.63,TARGET HIT 🎯,0.1,161051,1000.0
29,NBKE,13.1,14.41,0.97,TARGET HIT 🎯,0.1,126445,1000.0
